,id,start,end,gene_name,product,strand,locus_tag,interval
2,cds-WP_003109151.1,483,2027,dnaA,chromosomal replication initiator protein DnaA,+,NCGM2_RS00005,"[483, 2027]"
4,cds-WP_003097262.1,2056,3159,dnaN,DNA polymerase III subunit beta,+,NCGM2_RS00010,"[2056, 3159]"
6,cds-WP_003097265.1,3169,4278,recF,DNA replication/repair protein RecF,+,NCGM2_RS00015,"[3169, 4278]"
8,cds-WP_003097268.1,4275,6695,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,+,NCGM2_RS00020,"[4275, 6695]"
10,cds-WP_003097269.1,7075,7848,,1-acyl-sn-glycerol-3-phosphate acyltransferase,-,NCGM2_RS00025,"[7075, 7848]"
12,cds-WP_023092222.1,7860,8396,gmhB,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,-,NCGM2_RS00030,"[7860, 8396]"
14,cds-WP_003097272.1,8728,10434,,hypothetical protein,+,NCGM2_RS00035,"[8728, 10434]"
16,cds-WP_031632258.1,10491,12545,,glycine--tRNA ligase subunit beta,-,NCGM2_RS00040,"[10491, 12545]"
18,cds-WP_003097276.1,12545,13492,glyQ,glycine--tRNA ligase subunit alpha,-,NCGM2_RS00045,"[12545, 13492]"
20,cds-WP_003097280.1,13597,14148,,DNA-3-methyladenine glycosylase I,+,NCGM2_RS00050,"[13597, 14148]"
22,cds-WP_003097282.1,14293,15180,,lysophospholipid acyltransferase,+,NCGM2_RS00055,"[14293, 15180]"
24,cds-WP_003114645.1,15265,15531,,PilZ domain-containing protein,+,NCGM2_RS00060,"[15265, 15531]"
26,cds-WP_003097286.1,15678,16331,,7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter,+,NCGM2_RS00065,"[15678, 16331]"
28,cds-WP_009316072.1,16393,16665,,hypothetical protein,-,NCGM2_RS00070,"[16393, 16665]"
30,cds-WP_003097288.1,16980,17297,,tetratricopeptide repeat protein,-,NCGM2_RS00075,"[16980, 17297]"
32,cds-WP_003097289.1,17446,18819,trkA,Trk system potassium transporter TrkA,-,NCGM2_RS00080,"[17446, 18819]"
34,cds-WP_014603454.1,18846,20150,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,-,NCGM2_RS00085,"[18846, 20150]"
36,cds-WP_023098410.1,20147,21091,fmt,methionyl-tRNA formyltransferase,-,NCGM2_RS00090,"[20147, 21091]"
38,cds-WP_003097293.1,21146,21652,,peptide deformylase,-,NCGM2_RS00095,"[21146, 21652]"
40,cds-WP_003097294.1,21791,22816,,LysM peptidoglycan-binding domain-containing protein,+,NCGM2_RS00100,"[21791, 22816]"
42,cds-WP_014602326.1,22951,24039,dprA,DNA-protecting protein DprA,+,NCGM2_RS00105,"[22951, 24039]"
44,cds-WP_003097300.1,24080,24637,,threonylcarbamoyl-AMP synthase,+,NCGM2_RS00110,"[24080, 24637]"
46,cds-WP_003097303.1,24647,25624,,NADPH:quinone reductase,-,NCGM2_RS00115,"[24647, 25624]"
48,cds-WP_003097311.1,25815,26732,hemF,oxygen-dependent coproporphyrinogen oxidase,+,NCGM2_RS00120,"[25815, 26732]"
50,cds-WP_003097314.1,26790,27614,aroE,shikimate dehydrogenase,+,NCGM2_RS00125,"[26790, 27614]"
52,cds-WP_003097316.1,27725,28711,,phospholipase,+,NCGM2_RS00130,"[27725, 28711]"
54,cds-WP_003097317.1,28692,29978,,peptidylprolyl isomerase,+,NCGM2_RS00135,"[28692, 29978]"
56,cds-WP_003097318.1,29975,30577,,hypothetical protein,+,NCGM2_RS00140,"[29975, 30577]"
58,cds-WP_003097320.1,30581,32134,,SulP family inorganic anion transporter,-,NCGM2_RS00145,"[30581, 32134]"
60,cds-WP_003097322.1,32139,33062,,choline ABC transporter substrate-binding protein,-,NCGM2_RS00150,"[32139, 33062]"
62,cds-WP_003097323.1,33079,34590,betC,choline-sulfatase,-,NCGM2_RS00155,"[33079, 34590]"
64,cds-WP_003122286.1,34703,35617,,LysR family transcriptional regulator,+,NCGM2_RS00160,"[34703, 35617]"
66,cds-WP_003097328.1,35628,36005,,DOPA 4%2C5-dioxygenase family protein,+,NCGM2_RS00165,"[35628, 36005]"
68,cds-WP_003097330.1,35984,36349,,Hpt domain-containing protein,-,NCGM2_RS00170,"[35984, 36349]"
70,cds-WP_003111192.1,36357,36980,,response regulator transcription factor,-,NCGM2_RS00175,"[36357, 36980]"
72,cds-WP_003097337.1,37166,37972,,tryptophan synthase subunit alpha,-,NCGM2_RS00180,"[37166, 37972]"
74,cds-WP_003097340.1,37969,39177,trpB,tryptophan synthase subunit beta,-,NCGM2_RS00185,"[37969, 39177]"
76,cds-WP_003097343.1,39281,40168,,LysR family transcriptional regulator,+,NCGM2_RS00190,"[39281, 40168]"
78,cds-WP_003097345.1,40269,40484,,dodecin family protein,+,NCGM2_RS00195,"[40269, 40484]"
80,cds-WP_003097347.1,40668,40895,,DUF1161 domain-containing protein,+,NCGM2_RS00200,"[40668, 40895]"
82,cds-WP_014603455.1,41193,42881,tpsB2,two-partner secretion system transporter TpsB2,+,NCGM2_RS00205,"[41193, 42881]"
84,cds-WP_014603456.1,42994,54609,,filamentous hemagglutinin N-terminal domain-containing protein,+,NCGM2_RS00210,"[42994, 54609]"
86,cds-WP_123788640.1,54606,55007,,hypothetical protein,+,NCGM2_RS32730,"[54606, 55007]"
88,cds-WP_071533944.1,55462,55677,,hypothetical protein,+,NCGM2_RS31500,"[55462, 55677]"
90,cds-WP_100814894.1,55898,58804,,ParB N-terminal domain-containing protein,+,NCGM2_RS00215,"[55898, 58804]"
92,cds-WP_086937300.1,60309,60564,,IS3 family transposase,-,NCGM2_RS00220,"[60309, 60564]"
93,cds-WP_086937300.1,59402,60309,,IS3 family transposase,-,NCGM2_RS00220,"[59402, 60309]"
95,cds-WP_003114585.1,60831,61109,,transposase,+,NCGM2_RS31510,"[60831, 61109]"
97,cds-WP_003083536.1,61208,61603,,hypothetical protein,+,NCGM2_RS00230,"[61208, 61603]"
99,cds-WP_003083553.1,61868,63121,,MgtC/SapB family protein,-,NCGM2_RS00235,"[61868, 63121]"
101,cds-WP_003083555.1,63440,64813,exoT,T3SS effector bifunctional cytotoxin exoenzyme T,+,NCGM2_RS00240,"[63440, 64813]"
103,cds-WP_003083559.1,65309,65995,,CsgG/HfaB family protein,+,NCGM2_RS00245,"[65309, 65995]"
105,cds-WP_003083569.1,66026,66379,,DUF4810 domain-containing protein,+,NCGM2_RS00250,"[66026, 66379]"
107,cds-WP_157832017.1,66421,67041,,DUF799 family lipoprotein,+,NCGM2_RS00255,"[66421, 67041]"
109,cds-WP_003083575.1,67056,67439,,helix-turn-helix transcriptional regulator,-,NCGM2_RS00260,"[67056, 67439]"
111,cds-WP_014603458.1,67721,69382,,hypothetical protein,-,NCGM2_RS00265,"[67721, 69382]"
113,cds-WP_003083582.1,69992,70132,,hypothetical protein,+,NCGM2_RS00270,"[69992, 70132]"
115,cds-WP_003083586.1,70954,72786,asnB,asparagine synthase (glutamine-hydrolyzing),+,NCGM2_RS00280,"[70954, 72786]"
117,cds-WP_003083588.1,72839,73267,,cupin domain-containing protein,-,NCGM2_RS00285,"[72839, 73267]"
119,cds-WP_003083590.1,73475,74023,,RNA 2'-phosphotransferase,-,NCGM2_RS00290,"[73475, 74023]"
121,cds-WP_003083593.1,74062,74568,,DUF1993 family protein,-,NCGM2_RS00295,"[74062, 74568]"
123,cds-WP_003083596.1,74634,75554,,LysR family transcriptional regulator,-,NCGM2_RS00300,"[74634, 75554]"
125,cds-WP_003083599.1,75662,76549,,MBL fold metallo-hydrolase,+,NCGM2_RS00305,"[75662, 76549]"
127,cds-WP_003083601.1,76612,77316,,DsbA family protein,+,NCGM2_RS00310,"[76612, 77316]"
129,cds-WP_003118563.1,77400,77855,,OsmC family protein,+,NCGM2_RS00315,"[77400, 77855]"
131,cds-WP_003083610.1,77966,78199,,DUF1161 domain-containing protein,+,NCGM2_RS00320,"[77966, 78199]"
133,cds-WP_003083612.1,78211,78648,,hypothetical protein,-,NCGM2_RS00325,"[78211, 78648]"
135,cds-WP_003083614.1,78705,79121,,hypothetical protein,-,NCGM2_RS00330,"[78705, 79121]"
137,cds-WP_003118564.1,79213,80340,,hypothetical protein,+,NCGM2_RS00335,"[79213, 80340]"
139,cds-WP_014603459.1,80348,81331,,hypothetical protein,-,NCGM2_RS00340,"[80348, 81331]"
141,cds-WP_003083616.1,81364,82029,,HAD family hydrolase,-,NCGM2_RS00345,"[81364, 82029]"
143,cds-WP_003083618.1,82022,82564,,gamma carbonic anhydrase family protein,-,NCGM2_RS00350,"[82022, 82564]"
145,cds-WP_003083621.1,82642,84687,prlC,oligopeptidase A,+,NCGM2_RS00355,"[82642, 84687]"
147,cds-WP_003083624.1,84684,84959,,YheV family putative metal-binding protein,+,NCGM2_RS00360,"[84684, 84959]"
149,cds-WP_003083628.1,85048,86106,,PA0069 family radical SAM protein,+,NCGM2_RS00365,"[85048, 86106]"
151,cds-WP_003083630.1,86336,87250,,hypothetical protein,-,NCGM2_RS00370,"[86336, 87250]"
153,cds-WP_003083632.1,87312,89024,,SUMF1/EgtB/PvdO family nonheme iron enzyme,-,NCGM2_RS00375,"[87312, 89024]"
155,cds-WP_003083634.1,89017,90216,,ABC transporter permease,-,NCGM2_RS00380,"[89017, 90216]"
157,cds-WP_003136959.1,90216,90935,,ABC transporter ATP-binding protein,-,NCGM2_RS00385,"[90216, 90935]"
159,cds-WP_014603460.1,90932,94030,,protein kinase,-,NCGM2_RS00390,"[90932, 94030]"
161,cds-WP_003083639.1,94038,94766,,serine/threonine-protein phosphatase,-,NCGM2_RS00395,"[94038, 94766]"
163,cds-WP_003083642.1,94776,95456,tagF,type VI secretion system-associated protein TagF,-,NCGM2_RS00400,"[94776, 95456]"
165,cds-WP_003083648.1,95453,98986,tssM,type VI secretion system membrane subunit TssM,-,NCGM2_RS00405,"[95453, 98986]"
167,cds-WP_014603461.1,98983,100332,,DotU family type VI secretion system protein,-,NCGM2_RS00410,"[98983, 100332]"
169,cds-WP_003115052.1,100339,101673,tssK,type VI secretion system baseplate subunit TssK,-,NCGM2_RS00415,"[100339, 101673]"
171,cds-WP_003083660.1,101689,102153,tssJ,type VI secretion system lipoprotein TssJ,-,NCGM2_RS00420,"[101689, 102153]"
173,cds-WP_014603462.1,102198,103721,tagH,type VI secretion system-associated FHA domain protein TagH,-,NCGM2_RS00425,"[102198, 103721]"
175,cds-WP_003083664.1,104089,105123,tssA,type VI secretion system protein TssA,+,NCGM2_RS00430,"[104089, 105123]"
177,cds-WP_003083666.1,105212,105730,tssB,type VI secretion system contractile sheath small subunit,+,NCGM2_RS00435,"[105212, 105730]"
179,cds-WP_003083668.1,105743,107239,tssC,type VI secretion system contractile sheath large subunit,+,NCGM2_RS00440,"[105743, 107239]"
181,cds-WP_003083670.1,107315,107803,,type VI secretion system tube protein Hcp,+,NCGM2_RS00445,"[107315, 107803]"
183,cds-WP_003119488.1,107971,108816,,tetratricopeptide repeat protein,+,NCGM2_RS00450,"[107971, 108816]"
185,cds-WP_003083674.1,108818,109327,tssE,type VI secretion system baseplate subunit TssE,+,NCGM2_RS00455,"[108818, 109327]"
187,cds-WP_003083676.1,109324,111183,tssF,type VI secretion system baseplate subunit TssF,+,NCGM2_RS00460,"[109324, 111183]"
189,cds-WP_003083679.1,111147,112193,tssG,type VI secretion system baseplate subunit TssG,+,NCGM2_RS00465,"[111147, 112193]"
191,cds-WP_003083682.1,112186,114894,tssH,type VI secretion system ATPase TssH,+,NCGM2_RS00470,"[112186, 114894]"
193,cds-WP_073660211.1,114941,116872,,type VI secretion system tip protein VgrG,+,NCGM2_RS00475,"[114941, 116872]"
195,cds-WP_003111794.1,116987,117271,,hypothetical protein,-,NCGM2_RS00480,"[116987, 117271]"
197,cds-WP_003083689.1,117284,117517,,hypothetical protein,-,NCGM2_RS00485,"[117284, 117517]"
199,cds-WP_003083691.1,117507,118889,tis1,T6SS immunity factor Tis1,-,NCGM2_RS00490,"[117507, 118889]"
201,cds-WP_003083692.1,118905,119339,,DcrB-related protein,-,NCGM2_RS00495,"[118905, 119339]"
203,cds-WP_014603464.1,119593,121818,vgrG,type VI secretion system tip protein VgrG,+,NCGM2_RS00500,"[119593, 121818]"
205,cds-WP_003083695.1,121846,122295,,hypothetical protein,+,NCGM2_RS00505,"[121846, 122295]"
207,cds-WP_023436119.1,122225,123424,,DUF2169 domain-containing protein,+,NCGM2_RS00510,"[122225, 123424]"
209,cds-WP_003083697.1,123421,124458,,3-oxoacyl-ACP synthase,+,NCGM2_RS00515,"[123421, 124458]"
211,cds-WP_003083698.1,124458,125618,,DUF4150 domain-containing protein,+,NCGM2_RS00520,"[124458, 125618]"
213,cds-WP_003083699.1,125640,126560,,hypothetical protein,+,NCGM2_RS00525,"[125640, 126560]"
215,cds-WP_023098416.1,126542,127789,,TIGR02270 family protein,+,NCGM2_RS00530,"[126542, 127789]"
217,cds-WP_003083701.1,128165,128893,,carbonic anhydrase,+,NCGM2_RS00535,"[128165, 128893]"
219,cds-WP_003083703.1,129104,130675,,SulP family inorganic anion transporter,+,NCGM2_RS00540,"[129104, 130675]"
221,cds-WP_003083705.1,130662,131300,,hypothetical protein,-,NCGM2_RS00545,"[130662, 131300]"
223,cds-WP_003101203.1,131672,132796,coxB,cytochrome c oxidase subunit II,+,NCGM2_RS00550,"[131672, 132796]"
225,cds-WP_003083723.1,132806,134398,ctaD,cytochrome c oxidase subunit I,+,NCGM2_RS00555,"[132806, 134398]"
227,cds-WP_003083725.1,134409,134963,,cytochrome c oxidase assembly protein,+,NCGM2_RS00560,"[134409, 134963]"
