,id,start,end,gene_name,strand,locus_tag,interval
1,gene-PA0001,483,2027,dnaA,+,PA0001,"[483, 2027]"
3,gene-PA0002,2056,3159,dnaN,+,PA0002,"[2056, 3159]"
5,gene-PA0003,3169,4278,recF,+,PA0003,"[3169, 4278]"
7,gene-PA0004,4275,6695,gyrB,+,PA0004,"[4275, 6695]"
9,gene-PA0005,7018,7791,lptA,-,PA0005,"[7018, 7791]"
11,gene-PA0006,7803,8339,PA0006,-,PA0006,"[7803, 8339]"
13,gene-PA0007,8671,10377,PA0007,+,PA0007,"[8671, 10377]"
15,gene-PA0008,10434,12488,glyS,-,PA0008,"[10434, 12488]"
17,gene-PA0009,12488,13435,glyQ,-,PA0009,"[12488, 13435]"
19,gene-PA0010,13540,14091,tag,+,PA0010,"[13540, 14091]"
21,gene-PA0011,14235,15122,PA0011,+,PA0011,"[14235, 15122]"
23,gene-PA0012,15207,15473,PA0012,+,PA0012,"[15207, 15473]"
25,gene-PA0013,15620,16273,PA0013,+,PA0013,"[15620, 16273]"
27,gene-PA0014,16335,16607,PA0014,-,PA0014,"[16335, 16607]"
29,gene-PA0015,16900,17217,PA0015,-,PA0015,"[16900, 17217]"
31,gene-PA0016,17366,18739,trkA,-,PA0016,"[17366, 18739]"
33,gene-PA0017,18767,20071,PA0017,-,PA0017,"[18767, 20071]"
35,gene-PA0018,20068,21012,fmt,-,PA0018,"[20068, 21012]"
37,gene-PA0019,21067,21573,def,-,PA0019,"[21067, 21573]"
39,gene-PA0020,21712,22737,PA0020,+,PA0020,"[21712, 22737]"
41,gene-PA0021,22872,23960,PA0021,+,PA0021,"[22872, 23960]"
43,gene-PA0022,24001,24558,PA0022,+,PA0022,"[24001, 24558]"
45,gene-PA0023,24568,25545,qor,-,PA0023,"[24568, 25545]"
47,gene-PA0024,25736,26653,hemF,+,PA0024,"[25736, 26653]"
49,gene-PA0025,26711,27535,aroE,+,PA0025,"[26711, 27535]"
52,gene-PA0026,27646,28632,plcB,+,PA0026,"[27646, 28632]"
54,gene-PA0027,28613,29899,PA0027,+,PA0027,"[28613, 29899]"
56,gene-PA0028,29896,30498,PA0028,+,PA0028,"[29896, 30498]"
58,gene-PA0029,30502,32055,PA0029,-,PA0029,"[30502, 32055]"
60,gene-PA0030,32060,32983,PA0030,-,PA0030,"[32060, 32983]"
62,gene-PA0031,33000,34511,betC,-,PA0031,"[33000, 34511]"
64,gene-PA0032,34624,35538,PA0032,+,PA0032,"[34624, 35538]"
66,gene-PA0032a,35549,35926,PA0032a,+,PA0032a,"[35549, 35926]"
68,gene-PA0033,35905,36270,PA0033,-,PA0033,"[35905, 36270]"
70,gene-PA0034,36278,36901,PA0034,-,PA0034,"[36278, 36901]"
72,gene-PA0035,37087,37893,trpA,-,PA0035,"[37087, 37893]"
74,gene-PA0036,37890,39098,trpB,-,PA0036,"[37890, 39098]"
77,gene-PA0037,39202,40089,trpI,+,PA0037,"[39202, 40089]"
81,gene-PA0038,40190,40405,PA0038,+,PA0038,"[40190, 40405]"
83,gene-PA0039,40589,40816,PA0039,+,PA0039,"[40589, 40816]"
85,gene-PA0040,41113,42801,PA0040,+,PA0040,"[41113, 42801]"
87,gene-PA0041,42914,53521,PA0041,+,PA0041,"[42914, 53521]"
89,gene-PA0041a,54121,54822,PA0041a,+,PA0041a,"[54121, 54822]"
91,gene-PA0042,56546,56941,PA0042,+,PA0042,"[56546, 56941]"
93,gene-PA0043,57212,58594,PA0043,-,PA0043,"[57212, 58594]"
97,gene-PA0044,58786,60159,exoT,+,PA0044,"[58786, 60159]"
101,gene-PA0045,60656,61342,PA0045,+,PA0045,"[60656, 61342]"
103,gene-PA0046,61373,61726,PA0046,+,PA0046,"[61373, 61726]"
105,gene-PA0047,61879,62388,PA0047,+,PA0047,"[61879, 62388]"
107,gene-PA0048,62403,62786,PA0048,-,PA0048,"[62403, 62786]"
109,gene-PA0049,63068,64729,PA0049,-,PA0049,"[63068, 64729]"
111,gene-PA0050,65339,65479,PA0050,+,PA0050,"[65339, 65479]"
113,gene-PA0051,66303,68135,phzH,+,PA0051,"[66303, 68135]"
115,gene-PA0052,68188,68616,PA0052,-,PA0052,"[68188, 68616]"
118,gene-PA0054,69543,70091,PA0054,-,PA0054,"[69543, 70091]"
120,gene-PA0055,70130,70636,PA0055,-,PA0055,"[70130, 70636]"
122,gene-PA0056,70702,71622,PA0056,-,PA0056,"[70702, 71622]"
124,gene-PA0057,71730,72617,PA0057,+,PA0057,"[71730, 72617]"
126,gene-PA0058,72680,73384,PA0058,+,PA0058,"[72680, 73384]"
128,gene-PA0059,73468,73923,osmC,+,PA0059,"[73468, 73923]"
130,gene-PA0060,74034,74267,PA0060,+,PA0060,"[74034, 74267]"
132,gene-PA0061,74279,74716,PA0061,-,PA0061,"[74279, 74716]"
134,gene-PA0062,74773,75189,PA0062,-,PA0062,"[74773, 75189]"
136,gene-PA0063,75281,76408,PA0063,+,PA0063,"[75281, 76408]"
138,gene-PA0064,76416,77399,PA0064,-,PA0064,"[76416, 77399]"
140,gene-PA0065,77432,78097,PA0065,-,PA0065,"[77432, 78097]"
142,gene-PA0066,78090,78632,PA0066,-,PA0066,"[78090, 78632]"
144,gene-PA0067,78710,80755,prlC,+,PA0067,"[78710, 80755]"
146,gene-PA0068,80752,81027,PA0068,+,PA0068,"[80752, 81027]"
148,gene-PA0069,81116,82174,PA0069,+,PA0069,"[81116, 82174]"
150,gene-PA0070,82404,83318,PA0070,-,PA0070,"[82404, 83318]"
152,gene-PA0071,83380,85092,PA0071,-,PA0071,"[83380, 85092]"
154,gene-PA0072,85085,86284,PA0072,-,PA0072,"[85085, 86284]"
156,gene-PA0073,86284,87003,PA0073,-,PA0073,"[86284, 87003]"
158,gene-PA0074,87000,90098,ppkA,-,PA0074,"[87000, 90098]"
160,gene-PA0075,90106,90834,pppA,-,PA0075,"[90106, 90834]"
162,gene-PA0076,90844,91524,PA0076,-,PA0076,"[90844, 91524]"
164,gene-PA0077,91521,94826,icmF1,-,PA0077,"[91521, 94826]"
166,gene-PA0078,95048,96397,PA0078,-,PA0078,"[95048, 96397]"
168,gene-PA0079,96404,97738,PA0079,-,PA0079,"[96404, 97738]"
170,gene-PA0080,97754,98218,PA0080,-,PA0080,"[97754, 98218]"
172,gene-PA0081,98263,99756,fha1,-,PA0081,"[98263, 99756]"
174,gene-PA0082,100124,101158,PA0082,+,PA0082,"[100124, 101158]"
176,gene-PA0083,101247,101765,PA0083,+,PA0083,"[101247, 101765]"
178,gene-PA0084,101778,103274,PA0084,+,PA0084,"[101778, 103274]"
180,gene-PA0085,103350,103838,hcp1,+,PA0085,"[103350, 103838]"
182,gene-PA0086,104006,104851,PA0086,+,PA0086,"[104006, 104851]"
184,gene-PA0087,104853,105362,PA0087,+,PA0087,"[104853, 105362]"
186,gene-PA0088,105359,107218,PA0088,+,PA0088,"[105359, 107218]"
188,gene-PA0089,107182,108228,PA0089,+,PA0089,"[107182, 108228]"
190,gene-PA0090,108221,110929,clpV1,+,PA0090,"[108221, 110929]"
192,gene-PA0091,110976,112907,vgrG1,+,PA0091,"[110976, 112907]"
194,gene-PA0092,113022,113306,PA0092,-,PA0092,"[113022, 113306]"
196,gene-PA0093,113303,114595,PA0093,-,PA0093,"[113303, 114595]"
198,gene-PA0094,114611,115045,PA0094,-,PA0094,"[114611, 115045]"
200,gene-PA0095,115299,117524,PA0095,+,PA0095,"[115299, 117524]"
202,gene-PA0096,117552,118001,PA0096,+,PA0096,"[117552, 118001]"
204,gene-PA0097,117931,119130,PA0097,+,PA0097,"[117931, 119130]"
206,gene-PA0098,119127,120164,PA0098,+,PA0098,"[119127, 120164]"
208,gene-PA0099,120164,121324,PA0099,+,PA0099,"[120164, 121324]"
210,gene-PA0100,121346,122266,PA0100,+,PA0100,"[121346, 122266]"
212,gene-PA0101,122248,123495,PA0101,+,PA0101,"[122248, 123495]"
216,gene-PA0102,123871,124599,PA0102,+,PA0102,"[123871, 124599]"
218,gene-PA0103,124810,126381,PA0103,+,PA0103,"[124810, 126381]"
220,gene-PA0103a,126368,127006,PA0103a,-,PA0103a,"[126368, 127006]"
222,gene-PA0105,127378,128502,coxB,+,PA0105,"[127378, 128502]"
224,gene-PA0106,128512,130104,coxA,+,PA0106,"[128512, 130104]"
226,gene-PA0107,130115,130669,PA0107,+,PA0107,"[130115, 130669]"
228,gene-PA0108,130680,131567,coIII,+,PA0108,"[130680, 131567]"
230,gene-PA0109,131583,131792,PA0109,-,PA0109,"[131583, 131792]"
232,gene-PA0110,131808,132602,PA0110,+,PA0110,"[131808, 132602]"
234,gene-PA0111,132577,133155,PA0111,+,PA0111,"[132577, 133155]"
